Transaction,EquipmentCode,Success,GasUsed,LatencyMs,BlockNumber,TransactionHash,Error
141,WL-10141-1787727685410-454729,1,499269,4173.498,12591,0x2c1370e685eb91149b2123bbbe24f95747a5e6cc4bd71c1d5689fb777dc3eebe,""
142,WL-10142-1787727689584-284540,1,499269,4183.301,12593,0x945d77c3856f282943a6fbdd968e73d0f4b2c668500659380ebeda2fb6991960,""
143,WL-10143-1787727693768-653441,1,499269,4247.971,12595,0x492b3e0bb9e64dbaaaa16edd64130dcb0b6ca277fbf50bdf5bc1aff6edb4f3df,""
144,WL-10144-1787727698017-398423,1,499269,4342.157,12598,0x81b4ee8105b15ec56f4ab2f38a5783cf1a9d3ff44d626c6025584d7b436d5ec3,""
145,WL-10145-1787727702360-480300,1,499269,4154.809,12600,0xbdaf7d7d8dfb79cbd1d507af124490cd0d47fc7e040adda9e4135fb831bd72f0,""
146,WL-10146-1787727706515-936096,1,499269,4201.584,12602,0x7cb0eb8300ad889030a82c203e97fe6ec05c4e0cb52c9443402326f57eb0a723,""
147,WL-10147-1787727710717-499252,1,499269,4280.252,12604,0x2e1b333d979a3f874b00be4d711236edf234b4b695a393725748a3fd82c935b0,""
148,WL-10148-1787727714998-873051,1,499269,4437.071,12606,0x939699f45449823a79356ae27493a8f9d59dc66779656ed0155e899bf6448a89,""
149,WL-10149-1787727719435-247451,1,499269,10022.299,12610,0xfaa94a23101f0ffbf5a967cd495e2212e72527aea94f20ab3a3144c209a46650,""
150,WL-10150-1787727729459-660582,1,499269,4290.135,12612,0x9e3401eff59d280ce095cb7be0e88f463410dbed3a8fbac14c53de28b449b075,""
151,WL-10151-1787727733764-997249,1,499269,6898.080,12614,0xe38cf84ca52ed2969a23cbfa12b39a3fa3628857f552af0aee58597dcf27352f,""
